Date,Arena,Home_Team,Visitor_Team,player_name,player_id,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
"Wed, Dec 23, 2020",United Center,Chicago Bulls,Atlanta Hawks,Bogdan BogdanoviÄ,bogdabo01,24.933333333333334,5,12,.417,3,8,.375,2,3,.667,0,7,7,2,1,0,2,2,15,0
"Wed, Dec 23, 2020",United Center,Chicago Bulls,Atlanta Hawks,Bruno Fernando,fernabr01,18.133333333333333,2,3,.667,0,0,,1,2,.500,3,4,7,1,2,0,3,3,5,-1
"Wed, Dec 23, 2020",United Center,Chicago Bulls,Atlanta Hawks,Brandon Goodwin,goodwbr01,13.233333333333333,1,4,.250,1,3,.333,0,0,,0,1,1,4,0,0,1,4,3,-16
"Wed, Dec 23, 2020",United Center,Chicago Bulls,Atlanta Hawks,Nathan Knight,knighna01,5.066666666666666,0,2,.000,0,0,,0,0,,2,1,3,0,0,0,2,2,0,-12
"Wed, Dec 23, 2020",United Center,Chicago Bulls,Atlanta Hawks,Skylar Mays,mayssk01,5.066666666666666,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-12
"Wed, Dec 23, 2020",United Center,Chicago Bulls,Atlanta Hawks,Patrick Williams,willipa01,33.03333333333333,5,11,.455,1,3,.333,5,6,.833,0,4,4,1,1,1,0,2,16,-23
"Wed, Dec 23, 2020",United Center,Chicago Bulls,Atlanta Hawks,Coby White,whiteco01,30.466666666666665,2,11,.182,1,7,.143,4,4,1.000,0,2,2,7,2,0,3,2,9,-13
"Wed, Dec 23, 2020",United Center,Chicago Bulls,Atlanta Hawks,Lauri Markkanen,markkla01,30.2,6,9,.667,4,6,.667,5,5,1.000,1,6,7,4,2,0,2,1,21,-34
"Wed, Dec 23, 2020",United Center,Chicago Bulls,Atlanta Hawks,Wendell Carter Jr.,cartewe01,25.766666666666666,2,5,.400,0,2,.000,2,2,1.000,1,5,6,2,0,0,3,3,6,-13
"Wed, Dec 23, 2020",United Center,Chicago Bulls,Atlanta Hawks,Zach LaVine,lavinza01,25.3,9,19,.474,1,8,.125,3,3,1.000,1,1,2,1,1,0,5,5,22,-26
"Wed, Dec 23, 2020",United Center,Chicago Bulls,Atlanta Hawks,Otto Porter Jr.,porteot01,23.366666666666667,5,10,.500,0,2,.000,4,4,1.000,3,2,5,1,2,0,1,2,14,-9
"Wed, Dec 23, 2020",United Center,Chicago Bulls,Atlanta Hawks,Ryan Arcidiacono,arcidry01,19.583333333333332,2,6,.333,1,4,.250,0,0,,0,3,3,2,1,0,0,2,5,6
"Wed, Dec 23, 2020",United Center,Chicago Bulls,Atlanta Hawks,Chandler Hutchison,hutchch01,18.583333333333332,1,6,.167,0,0,,0,0,,1,4,5,0,0,0,1,3,2,4
"Wed, Dec 23, 2020",United Center,Chicago Bulls,Atlanta Hawks,Daniel Gafford,gaffoda01,16.9,2,4,.500,0,0,,1,4,.250,0,1,1,0,0,1,0,1,5,2
"Wed, Dec 23, 2020",United Center,Chicago Bulls,Atlanta Hawks,Adam Mokoka,mokokad01,16.783333333333335,2,6,.333,0,3,.000,0,0,,1,1,2,2,1,1,0,1,4,6
